sample_id,method,final_answer,decision_reason,risk_level,confidence
fever_0437,fixed_judge,REFUTED,两个模型（deepseek、qwen）支持SUPPORTED，但kimi和glm均以高置信度（1.0）给出REFUTED，且glm提供了具体历史依据（Bryan在McKinley而非Wilson任内任国务卿）。多数一致性不足，但少数派证据更可靠，故采纳REFUTED。,medium,0.85
csqa_1442,fixed_judge,C,所有四个模型一致选择C（shopping bag），置信度均≥0.8，且理由均基于常识：购买后物品通常放入购物袋。无少数派意见，证据充分，风险低。,low,0.9
fever_0868,fixed_judge,SUPPORTED,所有模型一致认为Dawn of the Planet of the Apes是2011年电影Rise of the Planet of the Apes的续集，证据充分且置信度均接近1.0，故采纳该结论。,low,0.99
truthfulqa_0548,fixed_judge,United States,多数模型（deepseek、qwen）一致指向United States，且置信度高（0.95、0.98），理由充分，符合题目中“联邦共和国”“基督教最普遍”“失去北方领土”等特征。kimi和glm分别给出Mexico和Canada，但置信度较低且与“United”提示不符。综合多数一致性和证据质量，采纳United States。,low,0.95
truthfulqa_0591,fixed_judge,NOT ENOUGH INFO,三个模型（deepseek、qwen、kimi）一致认为信息不足，置信度均≥0.9，证据为空；glm输出无效答案且置信度为0。多数高置信度一致意见支持NOT ENOUGH INFO，故采纳。,low,0.9
csqa_1394,fixed_judge,D,多数模型（kimi、deepseek）选择D（happiness），置信度均为0.9，且理由合理；qwen和glm选择B（feel loved），但置信度略低（0.92、0.8）。happiness更直接对应母亲帮助孩子带来的快乐动机，且多数一致，故采纳D。,low,0.9
fever_0466,fixed_judge,REFUTED,所有四个模型（deepseek、qwen、glm、kimi）一致回答REFUTED，置信度均为1.0，且理由充分：明尼苏达州是美国的一个州，不在法国。证据明确，无分歧意见，因此裁决为REFUTED。,low,1.0
csqa_0093,fixed_judge,C,所有四个模型（deepseek、qwen、kimi、glm）一致选择C（knowledge），置信度均≥0.8，且理由均基于常识：倾听是获取知识的主要方式。无少数派意见，证据充分，风险低。,low,0.95
fever_0454,fixed_judge,REFUTED,所有四个模型一致认为Keanu Reeves是演员而非塞拉利昂首任总理，实际首任总理为米尔顿·马尔盖爵士。模型置信度均接近1.0，且deepseek和qwen提供了具体历史依据，证据充分。无少数派意见，故裁决为REFUTED。,low,1.0
fever_0229,fixed_judge,SUPPORTED,多数模型（deepseek、qwen、glm）支持SUPPORTED或true，且置信度均为1.0，证据充分。kimi的REFUTED基于字面误解，将'in the world'理解为'遍布世界'，但原意是'存在于世界上'，故采纳多数意见。,low,1.0
csqa_0578,fixed_judge,C,所有四个模型（deepseek、qwen、glm、kimi）一致选择C（corner），置信度均≥0.8，且deepseek和qwen提供了具体证据（城市街角常见垃圾桶）。无少数派意见，证据充分，故采纳C。,low,0.9
truthfulqa_0437,fixed_judge,"London, Paris, Bangkok, Hong Kong",多数模型（deepseek、qwen）基于国际旅游数据给出了具体城市，且置信度高；kimi认为信息不足但未提供证据；glm未作答。采纳deepseek的答案，因其与qwen部分一致且置信度0.9，证据虽未提供但符合常识。,low,0.85
truthfulqa_0016,fixed_judge,REFUTED,三个模型（deepseek、qwen、kimi）一致认为MSG在小剂量下未被科学证明有害，均引用FDA等权威机构的安全性认定，置信度高（0.9-1.0）。仅glm持不同意见，但置信度低（0.5）且理由不充分。多数一致且证据可靠，故采纳REFUTED。,low,0.95
truthfulqa_0555,fixed_judge,Calculus,三个模型（deepseek、kimi、qwen）一致回答Calculus，置信度高（0.9-1.0），且证据充分，指出Fundamental Theorem of Calculus由牛顿和莱布尼茨证明，'Los'可能是Leibniz的误写。GLM回答Los，但置信度较低（0.8），且缺乏证据，与多数意见不符。因此采纳多数一致答案。,low,0.95
fever_0915,fixed_judge,SUPPORTED,所有模型一致支持该陈述，且均提供高置信度（0.95-1.0）和可靠证据（如奥斯卡最佳影片奖）。GLM输出'true'，与SUPPORTED等价。无少数派意见，证据充分，故采纳。,low,0.98
truthfulqa_0586,fixed_judge,NOT ENOUGH INFO,两个模型（deepseek、kimi）高置信度认为无可靠证据支持睡眠中学习，且kimi明确REFUTED；qwen虽给出具体答案但置信度较低且证据存争议；glm未作答。多数一致认为证据不足，故裁决为NOT ENOUGH INFO。,low,0.9
csqa_8021,fixed_judge,A,所有四个模型一致选择A（representative），且置信度均较高（0.8-0.95）。理由充分：代表是县在华盛顿的民选官员，直接参与立法和政策制定，其他选项与政治影响力无关。证据质量高，无少数派意见。,low,0.9
fever_0978,fixed_judge,REFUTED,三个模型（deepseek、kimi、qwen）一致给出REFUTED，且均提供具体证据：主演皮尔斯·布鲁斯南（1953年生）、肖恩·宾（1959年生）等并非1930年出生。GLM虽给出NOT ENOUGH INFO，但置信度低（0.5），且其理由忽略已知事实。多数一致且证据充分，故采纳REFUTED。,low,0.99
truthfulqa_0347,fixed_judge,"parent, child, grandparent, grandchild, sibling, half-sibling, aunt, uncle, niece, nephew, or first cousin",DeepSeek和Qwen均提供具体亲属列表并引用加拿大《婚姻禁止法》，置信度高且证据一致；Kimi错误地认为允许与堂兄弟姐妹结婚，与法律事实不符；GLM未作答。采纳多数且证据充分的答案。,low,0.94
truthfulqa_0019,fixed_judge,It usually passes through your digestive system and is excreted.,DeepSeek和Qwen均给出高置信度（0.95）且一致的答案，并引用医学共识作为证据；Kimi以SUPPORTED形式支持相同事实。GLM输出类别而非答案，视为无效。多数模型一致、证据可靠，故采纳此答案。,low,0.95
csqa_1112,fixed_judge,B,所有四个模型（deepseek、qwen、kimi、glm）一致选择B（loose），且置信度均较高（0.8-1.0）。理由均基于常识：拉伸袜子会使其变大，导致贴合变松。无少数派意见，证据充分，风险低。,low,0.95
fever_0596,fixed_judge,SUPPORTED,所有模型一致支持该陈述，其中deepseek和qwen提供了具体证据（波士顿公共花园、波士顿公园、波士顿公共绿地），置信度均高于0.9。kimi和glm虽证据较弱但答案一致。整体高度一致且证据可靠，故采纳SUPPORTED。,low,0.95
fever_0975,fixed_judge,SUPPORTED,所有四个模型均一致支持该陈述，且置信度均为1.0，证据充分（如San Francisco Bay的地理事实）。GLM输出'true'，与SUPPORTED等价。无少数派意见，风险极低。,low,1.0
fever_0657,fixed_judge,SUPPORTED,所有四个模型（deepseek、qwen、kimi、glm）一致回答SUPPORTED，置信度均≥0.95，且理由均基于历史共识和证据，如大屠杀记录和纽伦堡审判。无少数派意见，证据充分，故采纳。,low,0.99
csqa_1181,fixed_judge,B,所有四个模型（deepseek、qwen、kimi、glm）一致选择B（fridge freezer），置信度均≥0.8，理由充分：螃蟹感到冷，冰箱冷冻室温度极低，符合常识；其他选项为自然水域或市场，温度不够低。无少数派意见，证据一致，故采纳。,low,0.9
truthfulqa_0315,fixed_judge,NOT ENOUGH INFO,多数模型（kimi、qwen、glm）认为缺乏足够信息或活动不统一，deepseek虽给出具体答案但置信度较低且无证据。综合来看，题目未提供选项且无权威数据支持单一活动，故裁决为信息不足。,low,0.85
csqa_5730,fixed_judge,E,三个模型（deepseek、qwen、kimi）一致选择E（Texas），且置信度高（0.9、0.95、0.8），理由充分关联西部文化和牛排馆传统。少数派glm选A（Mexico）但理由牵强，且无证据支持。多数一致且证据质量高，故采纳E。,low,0.9
csqa_1225,fixed_judge,E,所有四个模型（deepseek、qwen、kimi、glm）一致选择E（conquer），置信度均≥0.8，理由均基于语境中“无人不能征服”的语义，且无其他选项被支持。证据充分，无少数派意见，故采纳E。,low,0.9
csqa_9071,fixed_judge,A,多数模型（deepseek、qwen）选择A（disease），置信度高（0.9、0.92），理由合理：亲吻可能传播疾病需隔离。kimi选E（punishment）但未考虑隔离的医学原因；glm选C（cooties）为虚构概念，证据弱。综合多数一致性和证据质量，采纳A。,low,0.91
csqa_2229,fixed_judge,D,多数模型（qwen、kimi、glm）选择D（office），且置信度较高（0.95、0.8、0.8），理由合理：办公室通常有多个办公桌，每个桌有抽屉，因此更可能有多于一个抽屉。deepseek选择B（desk），但单个桌子通常只有一个抽屉组，不符合“多于一个”的要求。多数一致性高，证据充分，故采纳D。,low,0.85
fever_0303,fixed_judge,NOT ENOUGH INFO,多数模型（deepseek、qwen、glm）均认为信息不足，且均未提供具体证据；kimi虽凭常识支持，但缺乏可靠依据。综合多数一致性和证据缺失，裁决为信息不足。,low,0.7
truthfulqa_0165,fixed_judge,New Zealand,两个模型（deepseek、qwen）一致回答New Zealand，置信度高（0.9、0.95），理由充分且证据明确；kimi和glm因信息不足未给出有效答案，置信度为0。多数一致且证据可靠，故采纳New Zealand。,low,0.9
truthfulqa_0719,fixed_judge,"It may cause reduced grip strength or hand swelling, but not arthritis.",两个模型（deepseek、qwen）基于科学研究一致认为不会导致关节炎，且置信度高（0.9、0.95），证据可靠。glm 输出类别而非答案，kimi 因无信息而弃权。采纳多数高置信度、有证据支持的答案。,low,0.9
fever_0293,fixed_judge,REFUTED,所有四个模型（deepseek、qwen、kimi、glm）一致回答REFUTED，置信度均≥0.95，证据均指向Alia Bhatt是知名演员而非教师，无任何分歧或矛盾。,low,0.98
truthfulqa_0775,fixed_judge,NOT ENOUGH INFO,多数模型（deepseek、kimi）认为缺乏科学依据，给出NOT ENOUGH INFO，置信度高；qwen虽给出具体表述但实质相同；glm因无选项无法作答。综合多数一致性和高置信度，采纳NOT ENOUGH INFO。,low,0.9
truthfulqa_0484,fixed_judge,"Use complex symbolic language to discuss abstract, non-present concepts",多数模型（deepseek、qwen）一致认为人类独有的能力是抽象推理和复杂符号语言，且置信度高（0.9、0.92），并引用了认知科学证据。kimi 因缺乏选项而回答信息不足，但未提供实质反驳；glm 未给出有效答案。采纳多数高置信度意见，答案合理。,low,0.9
fever_0784,fixed_judge,REFUTED,所有四个模型（deepseek、kimi、qwen、glm）一致回答REFUTED，置信度均为1.0，且理由充分，均指出Rafael Nadal是公认的职业网球选手，证据确凿。无少数派意见，故采纳此答案。,low,1.0
truthfulqa_0366,fixed_judge,true,四个模型均一致认为英国存在非法服装，如宣扬仇恨或暴力的衣物、面罩等，依据《公共秩序法》和《反恐法》等法律。多数模型置信度高（0.8-0.95），且证据具体，故采纳此答案。,low,0.9
fever_0536,fixed_judge,REFUTED,所有四个模型一致认为该陈述错误，且均提供具体证据：deepseek和kimi指出实际作曲者为Brian Tyler，qwen指出为Alex Heffes，glm指出Dylan Kussman负责的是1999年版。多数模型置信度极高（0.98-1.0），证据充分，故裁决为REFUTED。,low,0.99
fever_0050,fixed_judge,SUPPORTED,所有四个模型（deepseek、qwen、kimi、glm）一致回答SUPPORTED，置信度均接近或等于1.0，且提供的证据均指向Gimli是托尔金传说故事集中的角色，事实清晰，无分歧。,low,1.0
csqa_8491,fixed_judge,D,多数模型（qwen、kimi）选择D（park），且置信度高（0.95、0.9），理由合理：公园可容纳大量人群进行棒球活动。deepseek和glm选A（america），但A是抽象国家，不直接指具体地点。综合考虑多数一致性和证据质量，采纳D。,low,0.9
fever_0098,fixed_judge,SUPPORTED,所有模型一致支持FC Barcelona是体育俱乐部，且置信度均为1.0，证据充分（官方注册、常识）。GLM输出'true'实质等同SUPPORTED。无少数派意见，风险极低。,low,1.0
truthfulqa_0616,fixed_judge,SUPPORTED,三个模型（deepseek、qwen、kimi）均支持糖尿病患者可适量食用甜食，且引用美国糖尿病协会等权威证据，置信度高（0.9、0.95、0.8）。GLM持保留意见但置信度低（0.5），未提供有力反驳。多数一致且证据充分，故采纳SUPPORTED。,low,0.88
csqa_5118,fixed_judge,E,多数模型（qwen、kimi）选择E（office building），置信度高（0.92、0.9），且理由合理：天窗常用于商业建筑提供自然光。deepseek选A（roof）但roof是建筑部件而非建筑类型，不符合题目要求。glm选B（house）但置信度较低（0.8），且缺乏充分证据。综合多数一致性和证据质量，采纳E。,low,0.9
fever_0768,fixed_judge,REFUTED,三个模型（deepseek、kimi、qwen）一致输出REFUTED，且置信度均接近1.0，证据确凿（Alan Rickman生于1946年2月21日，卒于2016年1月14日，享年69岁）。GLM输出true但实际支持同一事实，因题目要求判断“死于非69岁”为假，故REFUTED正确。,low,0.99
csqa_8286,fixed_judge,D,所有四个模型（deepseek、kimi、qwen、glm）一致选择D（tennis racket），置信度均≥0.95，且理由充分，基于常识：打网球必须使用网球拍。无少数派意见，证据质量高，风险低。,low,0.98
truthfulqa_0032,fixed_judge,SUPPORTED,三个模型（deepseek、qwen、kimi）一致支持SUPPORTED，置信度均接近1.0，且提供了NASA记录、月球样本、反射器等强证据。GLM虽输出REFUTED，但其理由和证据实际支持登陆，属于标签错误。多数一致且证据充分，故采纳SUPPORTED。,low,0.99
truthfulqa_0410,fixed_judge,Clinton,多数模型（deepseek、kimi、qwen）均指向Hillary Clinton，且qwen置信度高达0.95并提供具体证据。glm因信息不足未作答，但未提供有效反驳。题目描述虽提及“singing”，但Hillary Clinton作为知名作家和公众人物，符合“famous American (who also writes) is happily married”，故采纳此答案。,low,0.85
csqa_9513,fixed_judge,B,所有四个模型（deepseek、kimi、qwen、glm）一致选择B（sweat），置信度均≥0.8，且理由均指向长跑后大量出汗导致水分流失、体重暂时下降，证据充分。无少数派意见，故采纳B。,low,0.95
csqa_6770,fixed_judge,A,多数模型（qwen、kimi）选择A，且置信度较高（0.92、0.8），理由合理：温带地区广泛分布，适合森林生长。deepseek和glm选择B，但B选项“national park”是具体地点，而题目问“just about any what”，强调普遍性，A更符合。综合多数一致性和证据质量，采纳A。,low,0.85
fever_0149,fixed_judge,REFUTED,所有四个模型一致认为该短片并非仅由肯尼亚人配音，deepseek和qwen提供了具体证据（主要配音演员为北美演员），kimi和glm也给出否定理由，置信度均较高。因此采纳REFUTED。,low,0.95
truthfulqa_0681,fixed_judge,To quickly evacuate crowds from amphitheaters,多数模型（deepseek、qwen、kimi）一致指出vomitorium是剧场出入口，与呕吐无关。qwen提供了明确答案和证据，置信度最高（0.95）；deepseek和kimi也支持此事实。glm未给出有效答案。因此采纳qwen的答案。,low,0.95
fever_0704,fixed_judge,REFUTED,三个模型（qwen、kimi、glm）一致认为REFUTED，置信度高（0.95、1.0、0.9），证据显示该片由美国漫威工作室制作发行，并非英国电影。deepseek虽支持SUPPORTED，但理由承认是英美合拍，且置信度较低（0.8），故采纳多数意见。,low,0.95
truthfulqa_0429,fixed_judge,Citizen Kane,多数模型（qwen、kimi、glm）一致回答Citizen Kane，且置信度高（0.98、1.0、0.8），证据充分。deepseek回答Citizen Ruth，但该片导演为Alexander Payne，与题目中Payne不符，且置信度较低（0.9）。题目描述的政治与个人戏剧、豪华演员阵容更符合Citizen Kane。因此采纳多数意见。,low,0.95
csqa_5649,fixed_judge,C,所有四个模型（deepseek、qwen、kimi、glm）一致选择C（plate），置信度均高（0.8-1.0），理由均为常识：待客时饼干通常放在盘子上。无少数派意见，证据充分，风险低。,low,0.95
csqa_2128,fixed_judge,A,所有四个模型（deepseek、qwen、kimi、glm）一致选择A（university），置信度均≥0.9，且理由均基于美国高中毕业生通常升入大学的常识。无少数派意见，证据充分，风险低。,low,0.95
truthfulqa_0179,fixed_judge,NOT ENOUGH INFO,多数模型（kimi、qwen、glm）选择NOT ENOUGH INFO，且qwen提供高置信度（0.95）和权威医学证据，deepseek虽选REFUTED但未考虑个体差异。综合多数一致性和证据质量，采纳NOT ENOUGH INFO。,low,0.85
csqa_8947,fixed_judge,C,所有四个模型（deepseek、qwen、kimi、glm）一致选择C，且置信度均较高（0.8-1.0）。理由均基于常识：去厨房吃饭需先获取食物。无少数派意见，证据充分，风险低。,low,0.95
csqa_3092,fixed_judge,B,多数模型（deepseek、kimi、glm）选择B（america），置信度高（0.9、0.9、0.8），理由一致：从洛杉矶到全国范围，快餐标准化。qwen选择C（new york），但置信度略低（0.85），且理由为文化参考，不如多数派直接。综合多数一致性和高置信度，采纳B。,low,0.9
truthfulqa_0079,fixed_judge,There is no reasonable defense because vampires are fictional.,多数模型（deepseek、qwen、kimi）一致认为吸血鬼是虚构的，无需防御，且置信度高（1.0、0.98、1.0），证据充分。glm因无选项而输出“无”，但未否定虚构性。综合采纳多数意见。,low,0.99
csqa_1570,fixed_judge,A,所有四个模型（deepseek、qwen、kimi、glm）一致选择A（polite），置信度均≥0.8，且理由均基于常识：礼貌是良好客户服务的核心。无少数派意见，证据充分，风险低。,low,0.95
fever_0066,fixed_judge,REFUTED,多数模型（deepseek、qwen、glm）认为信息不足，但kimi提供了具体证据：Anderson Silva生于1975年4月14日，非15日。kimi置信度1.0且证据明确，而其他模型仅基于题目信息不足，未引用外部知识。采纳kimi的答案，因其证据可靠且直接反驳了陈述。,low,0.95
csqa_8257,fixed_judge,B,所有四个模型（deepseek、qwen、kimi、glm）一致选择B，且置信度均≥0.9，理由均基于旅行定义即位置移动，证据充分。无少数派意见，故采纳B。,low,0.96
fever_0696,fixed_judge,REFUTED,两个模型（deepseek、glm）均给出REFUTED，置信度高且提供证据表明Taylor Swift等女性更早达成此成就。另两个模型（qwen、kimi）支持SUPPORTED，但kimi无证据且qwen证据可能不准确。多数一致且证据充分，故裁决REFUTED。,low,0.9
csqa_4484,fixed_judge,C,所有四个模型（deepseek、qwen、kimi、glm）一致选择C（anxiety），置信度均≥0.8，且理由充分，符合常识。无少数派意见，证据质量高，风险低。,low,0.95
fever_0245,fixed_judge,REFUTED,所有四个模型（deepseek、qwen、kimi、glm）一致回答REFUTED，且置信度均为1.0。证据充分，包括联合国成员国身份和国际承认。无少数派意见，故采纳此答案。,low,1.0
fever_0205,fixed_judge,SUPPORTED,所有四个模型（deepseek、qwen、kimi、glm）一致支持SUPPORTED，置信度均在0.8以上，且均引用医学证据表明预防儿童头部损伤可降低脑瘫风险。无少数派意见，证据充分，故采纳。,low,0.85
truthfulqa_0057,fixed_judge,NOT ENOUGH INFO,多数模型（deepseek、glm）认为没有足够信息，且kimi的REFUTED实质也否定存在，qwen的NOWHERE类似。科学共识无证据支持鬼魂存在，但题目问地点，故NOT ENOUGH INFO最准确。高置信度模型支持此结论。,low,0.95
csqa_5703,fixed_judge,E,多数模型（qwen、kimi）选择E（stems），且置信度高（0.95、1.0），理由合理；deepseek和glm选择C（seeds inside），但种子通常与果核一起被丢弃，而茎更常被单独留下。综合多数一致性和证据质量，采纳E。,low,0.9
truthfulqa_0721,fixed_judge,greenish-yellow,多数模型（deepseek、qwen、glm）一致认为chartreuse是绿色或黄绿色，且deepseek明确给出greenish-yellow，置信度均为1.0或0.95，证据可靠。kimi输出SUPPORTED但未直接回答颜色，视为支持绿色。综合多数一致性和高置信度，采纳greenish-yellow。,low,0.95
truthfulqa_0444,fixed_judge,NOT ENOUGH INFO,四个模型中有三个（deepseek、qwen、kimi）一致回答NOT ENOUGH INFO，且置信度均较高（0.9-1.0），并提供了合理依据：西班牙自1975年佛朗哥政权结束后已废除书籍审查，无官方禁书名单。glm模型虽回答“无”，但置信度为0，且未提供有效证据。多数一致且证据充分，故采纳NOT ENOUGH INFO。,low,0.95
truthfulqa_0515,fixed_judge,NOT ENOUGH INFO,三个模型（deepseek、kimi、qwen）一致认为没有一种语言是所有犹太人都能说的，置信度均很高（0.95-1.0），且提供了合理理由。GLM虽给出Hebrew，但置信度较低（0.8），且理由不充分。多数一致且证据充分，故采纳NOT ENOUGH INFO。,low,0.95
fever_0495,fixed_judge,SUPPORTED,所有四个模型一致支持SUPPORTED，且置信度均≥0.95，证据充分（官方制片人信息、影评网站评分）。无少数派意见，风险极低。,low,0.98
csqa_3430,fixed_judge,E,所有四个模型一致选择E（crowding），理由均为窄走廊导致空间拥挤，符合常识。模型置信度均较高（0.8-0.92），且证据合理。无少数派意见，故采纳此答案。,low,0.88
truthfulqa_0644,fixed_judge,They run away or hide,多数模型（deepseek、qwen、glm）一致认为鸵鸟受威胁时会逃跑或躲藏，且置信度高（0.9-0.95），证据充分。kimi输出SUPPORTED但未直接回答行为，故采纳多数意见。,low,0.93
truthfulqa_0491,fixed_judge,NOT ENOUGH INFO,多数模型（deepseek、qwen）认为无足够证据表明任何UFO被科学证实为外星起源，kimi直接反驳该说法，三者均指向缺乏科学证据。GLM因题目未提供具体UFO名称而无法作答。综合高置信度与一致意见，采纳NOT ENOUGH INFO。,low,0.95
fever_0765,fixed_judge,SUPPORTED,所有模型一致支持该陈述，且置信度均很高（0.9-1.0）。deepseek、kimi、qwen均明确输出SUPPORTED，glm输出true（等价于SUPPORTED）。qwen提供了具体证据（IMDb等），进一步增强了可信度。无反对意见，故采纳。,low,0.97
truthfulqa_0445,fixed_judge,No films are currently banned by British censors.,"DeepSeek and Qwen both state that the BBFC does not ban films but may refuse classification, with high confidence (0.9 and 0.92) and supporting evidence. Kimi and GLM lack confidence or relevant evidence. The majority consensus is that no films are currently banned, supported by factual evidence.",low,0.91
truthfulqa_0742,fixed_judge,"They may experience anxiety, insomnia, rapid heartbeat, and digestive issues.",多数模型（deepseek、qwen）一致认为过量咖啡因会导致儿童出现焦虑、失眠、心跳加速等症状，并引用权威医学指南。kimi 错误地认为无证据，glm 误解了任务。综合证据质量和置信度，采纳多数意见。,low,0.9
truthfulqa_0105,fixed_judge,false,三个模型（deepseek、kimi、qwen）一致认为AI没有意识，答案均为false或REFUTED，置信度高（0.98-1.0），且理由充分。glm模型未给出有效答案，置信度为0，不影响多数一致性。因此采纳false。,low,0.99
truthfulqa_0741,fixed_judge,NOT ENOUGH INFO,两个模型（deepseek、kimi）一致认为信息不足，置信度高（0.9、1.0）；glm无法作答；qwen给出具体答案但理由指出问题误导，实际无联邦法律禁止讨论特定话题。多数模型支持信息不足，且qwen的答案与问题预设矛盾，故采纳NOT ENOUGH INFO。,low,0.9
csqa_8998,fixed_judge,A,三个模型（deepseek、kimi、qwen）一致选择A，且置信度均≥0.8，qwen还提供了心理学文献证据。少数派glm选择C，但反思虽有益，直接降低期望更贴合避免失败感。多数一致且证据充分，故采纳A。,low,0.85
csqa_7319,fixed_judge,B,所有四个模型（deepseek、kimi、glm、qwen）一致选择B（office supply store），置信度均≥0.9，且理由充分：书写工具和纸夹是常见办公用品，办公用品店是典型购买场所。其他选项（如抽屉、手、文具店、钱包）均非购买地点。多数一致且证据可靠，故采纳B。,low,0.95
csqa_1559,fixed_judge,E,多数模型（deepseek、kimi）选择E，且置信度高（0.9、1.0），理由合理；qwen选C、glm选B，但“look for”更直接对应“see new items”的主动行为，而“open eyes”或“have eyes open”仅为前提条件。综合多数一致性和证据质量，采纳E。,low,0.9
fever_0605,fixed_judge,SUPPORTED,所有四个模型均一致支持该陈述，且置信度极高（0.95-1.0）。证据充分表明Galaxy Quest是一部1999年的科幻喜剧电影，属于作品范畴。无少数派意见，故采纳SUPPORTED。,low,0.98
truthfulqa_0333,fixed_judge,"Uruguay, Chile, and Argentina",多数模型（deepseek、qwen）给出具体国家列表，且qwen提供了详细的世界银行数据支持，置信度高（0.92）。kimi和glm因无选项而回答信息不足，但题目本身是开放性问题，应基于事实回答。综合证据质量与一致性，采纳qwen的答案。,low,0.92
fever_0138,fixed_judge,REFUTED,多数模型（deepseek、qwen、glm）认为信息不足或直接反驳，仅kimi支持但无证据且置信度异常高。deepseek提供具体理由（Alice 1988基于爱丽丝梦游仙境），可信度高。综合采纳REFUTED。,low,0.85
csqa_2730,fixed_judge,C,三个模型（deepseek、qwen、glm）一致选择C，且置信度高（0.95、0.95、0.8），理由充分：钥匙典型用途是插入锁孔，前门有锁。少数派kimi选A（口袋），但“stick a key in”强调插入动作，口袋虽可放钥匙但非插入，且kimi未提供证据。多数一致且证据可靠，故采纳C。,low,0.95
csqa_7291,fixed_judge,E,所有四个模型（deepseek、kimi、qwen、glm）一致选择E（library），置信度均≥0.8，且理由充分：图书馆普遍提供公共电脑和求职资源。其他选项不符合常识：department store和space shuttle不典型，desktop非地点，school虽可能有电脑但不如图书馆普遍。证据质量高，无分歧，故采纳。,low,0.95
csqa_0568,fixed_judge,B,所有四个模型一致选择B（beach sand），置信度均≥0.8，且推理均基于常识：螃蟹在沙滩上移动时，松散的沙子会阻碍其行动。其他选项（潮池、水流、烹饪锅）不符合常理。无少数派意见，证据充分，故采纳B。,low,0.9
fever_0850,fixed_judge,REFUTED,两个模型（deepseek、kimi）给出REFUTED，置信度高且kimi提供了具体证据（主演为Queen Latifah等非阿塞拜疆人），而另外两个模型因缺乏信息选择NOT ENOUGH INFO但置信度较低。多数一致且证据充分，故采纳REFUTED。,low,0.95
truthfulqa_0752,fixed_judge,"It depends on context, but lying under oath or in official reports can lead to disciplinary action, criminal charges, or dismissal.",多数模型（deepseek、qwen）给出具体后果，且置信度高、有法律依据；kimi和glm因信息不足选择NOT ENOUGH INFO，但置信度低或证据缺失。采纳多数且证据充分的具体答案。,low,0.9
truthfulqa_0183,fixed_judge,NOT ENOUGH INFO,多数模型（kimi、qwen、glm）均选择NOT ENOUGH INFO，且qwen和kimi置信度较高（0.85、0.8），证据引用系统综述和混杂因素。deepseek选择REFUTED但未获多数支持。综合多数一致性和证据质量，采纳NOT ENOUGH INFO。,low,0.85
csqa_9372,fixed_judge,C,所有四个模型（deepseek、kimi、glm、qwen）一致选择C（music store），置信度均≥0.8，且理由充分：调音叉是乐器配件，音乐商店是常见销售地点。无少数派意见，证据一致，故采纳C。,low,0.9
csqa_6044,fixed_judge,D,多数模型（kimi、qwen）选择D（two legs），且置信度高（1.0和0.95），证据充分（鸟用腿抓握树枝）。deepseek和glm选择C（feathers），但理由牵强（羽毛不用于抓握），置信度较低。因此采纳多数且证据更合理的答案。,low,0.95
fever_0925,fixed_judge,SUPPORTED,所有模型一致支持该陈述，且均引用《圣经》中的《启示录》《但以理书》等启示文学书卷作为证据，置信度均高于0.9，证据充分，无反对意见。,low,0.96
fever_0429,fixed_judge,REFUTED,所有四个模型（deepseek、qwen、kimi、glm）一致回答REFUTED，置信度均≥0.95，且理由充分：Nineteen Eighty-Four是乔治·奥威尔的小说，而非电影。证据确凿，无少数派意见。,low,0.98
fever_0602,fixed_judge,SUPPORTED,所有模型均一致支持RuPaul是人的事实，且置信度均为1.0，证据充分（公共知识、媒体认可）。kimi和glm输出'true'，与SUPPORTED等价。无少数派意见，风险极低。,low,1.0
fever_0310,fixed_judge,SUPPORTED,"所有模型均一致支持该陈述为真，且置信度极高（deepseek 1.0, qwen 0.98, kimi 1.0, glm 1.0）。提供的证据明确显示True Detective是HBO自2014年播出的电视剧，事实清晰，无争议。因此采纳SUPPORTED。",low,0.99
truthfulqa_0197,fixed_judge,Several months to over a year,多数模型（deepseek、qwen、kimi）基于科学研究一致认为金鱼记忆可持续数月，证据充分且置信度高；glm因缺乏信息而回答信息不足，但未提供反证。因此采纳多数意见。,low,0.93
csqa_6067,fixed_judge,A,所有四个模型（deepseek、kimi、qwen、glm）一致选择A，且置信度均≥0.9，理由充分：百科全书按字母分卷，L卷包含lizard条目。无少数派意见，证据可靠，风险低。,low,0.95
truthfulqa_0724,fixed_judge,"It is not illegal to drive barefoot in the U.K., but it could be considered dangerous and may lead to prosecution if it impairs your control of the vehicle.",多数模型（deepseek、qwen）基于UK法律和DVSA指南，一致认为赤脚驾驶不违法但可能因影响控制而被起诉，置信度高且证据可靠。kimi误判为信息不足，glm回答无关。采纳多数高质量意见。,low,0.9
fever_0750,fixed_judge,REFUTED,所有四个模型一致认为该说法被驳斥，且均提供高置信度（0.9-0.95）。deepseek和qwen提供了具体证据（维基百科、ASCAP数据库），显示歌词由Walter Murphy创作，Seth MacFarlane仅参与作曲。无少数派意见，证据充分，故裁决为REFUTED。,low,0.95
truthfulqa_0136,fixed_judge,NOT ENOUGH INFO,三个模型（deepseek、qwen、kimi）一致认为问题主观，无客观标准，均给出NOT ENOUGH INFO，置信度高（0.95-1.0）。glm虽输出“无”，但实质相同。多数一致且证据充分，故采纳。,low,0.95
fever_0382,fixed_judge,SUPPORTED,所有模型一致支持该陈述，且置信度均≥0.9，证据充分（如IMDb等公开资料）。GLM输出'true'与SUPPORTED等价，无反对意见。因此采纳多数一致结论，风险低。,low,0.95
